lineup_type,lambda,selfish_agent,game_idx,seed,prod_gini,prod_min,prod_max,prod_range,winner_agent,num_turns
CONVEX,0.0,MCTS,60,61,0.067797,0.444444,0.611111,0.166667,MCTS,165
CONVEX,0.0,MCTS,61,62,0.241135,0.166667,0.638889,0.472222,CONVEX,997
CONVEX,0.0,MCTS,62,63,0.079096,0.472222,0.666667,0.194444,MCTS,117
CONVEX,0.0,MCTS,63,64,0.146667,0.333333,0.638889,0.305556,R,173
CONVEX,0.0,MCTS,64,65,0.197531,0.277778,0.722222,0.444444,MCTS,273
CONVEX,0.0,MCTS,65,66,0.141026,0.333333,0.638889,0.305556,R,479
CONVEX,0.0,MCTS,66,67,0.135593,0.333333,0.666667,0.333333,CONVEX,127
CONVEX,0.0,MCTS,67,68,0.111111,0.361111,0.611111,0.25,CONVEX,409
CONVEX,0.0,MCTS,68,69,0.116959,0.388889,0.666667,0.277778,MCTS,168
CONVEX,0.0,MCTS,69,70,0.169935,0.277778,0.638889,0.361111,CONVEX,235
CONVEX,0.0,MCTS,70,71,0.061728,0.444444,0.583333,0.138889,CONVEX,241
CONVEX,0.0,MCTS,71,72,0.145455,0.361111,0.694444,0.333333,MCTS,288
CONVEX,0.0,MCTS,72,73,0.155556,0.305556,0.694444,0.388889,MCTS,180
CONVEX,0.0,MCTS,73,74,0.137931,0.388889,0.722222,0.333333,MCTS,528
CONVEX,0.0,MCTS,74,75,0.16,0.333333,0.666667,0.333333,MCTS,141
CONVEX,0.0,MCTS,75,76,0.166667,0.305556,0.694444,0.388889,MCTS,114
CONVEX,0.0,MCTS,76,77,0.117647,0.361111,0.611111,0.25,R,287
CONVEX,0.0,MCTS,77,78,0.091503,0.388889,0.583333,0.194444,CONVEX,277
CONVEX,0.0,MCTS,78,79,0.076503,0.444444,0.638889,0.194444,R,278
CONVEX,0.0,MCTS,79,80,0.188679,0.305556,0.722222,0.416667,R,212
CONVEX,0.0,MCTS,80,81,0.125786,0.361111,0.638889,0.277778,R,170
CONVEX,0.0,MCTS,81,82,0.308943,0.111111,0.638889,0.527778,MCTS,165
CONVEX,0.0,MCTS,82,83,0.184397,0.277778,0.638889,0.361111,R,593
CONVEX,0.0,MCTS,83,84,0.121212,0.361111,0.638889,0.277778,CONVEX,538
CONVEX,0.0,MCTS,84,85,0.12,0.305556,0.555556,0.25,R,458
CONVEX,0.0,MCTS,85,86,0.19697,0.25,0.611111,0.361111,MCTS,366
CONVEX,0.0,MCTS,86,87,0.19209,0.25,0.722222,0.472222,R,101
CONVEX,0.0,MCTS,87,88,0.204082,0.277778,0.694444,0.416667,MCTS,291
CONVEX,0.0,MCTS,88,89,0.204301,0.25,0.777778,0.527778,MCTS,105
CONVEX,0.0,MCTS,89,90,0.149425,0.388889,0.75,0.361111,MCTS,297
CONVEX,0.0,MCTS,90,91,0.188679,0.305556,0.722222,0.416667,R,212
CONVEX,0.0,MCTS,91,92,0.065574,0.472222,0.638889,0.166667,CONVEX,142
CONVEX,0.0,MCTS,92,93,0.16092,0.361111,0.75,0.388889,R,221
CONVEX,0.0,MCTS,93,94,0.140351,0.361111,0.694444,0.333333,MCTS,717
CONVEX,0.0,MCTS,94,95,0.111111,0.333333,0.583333,0.25,MCTS,204
CONVEX,0.0,MCTS,95,96,0.145455,0.305556,0.638889,0.333333,MCTS,165
CONVEX,0.0,MCTS,96,97,0.192308,0.277778,0.694444,0.416667,MCTS,243
CONVEX,0.0,MCTS,97,98,0.222222,0.194444,0.611111,0.416667,CONVEX,514
CONVEX,0.0,MCTS,98,99,0.098361,0.472222,0.722222,0.25,CONVEX,166
CONVEX,0.0,MCTS,99,100,0.253333,0.166667,0.694444,0.527778,MCTS,333
